Timestamp,Sender,retr,retr.total,cwnd,ssthresh
1622720094.672501,172.10.0.2:57250,,,15,30445
1622720094.694419,172.10.0.2:57250,,,15,30445
1622720094.716677,172.10.0.2:57250,,,20,43477
1622720094.734063,172.10.0.2:57250,,,20,43477
1622720094.751619,172.10.0.2:57250,,,20,43477
1622720094.769013,172.10.0.2:57250,,,27,63749
1622720094.786784,172.10.0.2:57250,,,27,63749
1622720094.805261,172.10.0.2:57250,,,27,63749
1622720094.824309,172.10.0.2:57250,,,27,63749
1622720094.841712,172.10.0.2:57250,,,27,63749
1622720094.859246,172.10.0.2:57250,,,30,72437
1622720094.878665,172.10.0.2:57250,,,30,72437
1622720094.897574,172.10.0.2:57250,,,40,101397
1622720094.916724,172.10.0.2:57250,,,40,101397
1622720094.935672,172.10.0.2:57250,,,40,101397
1622720094.954487,172.10.0.2:57250,,,40,101397
1622720094.973871,172.10.0.2:57250,,,40,101397
1622720094.993065,172.10.0.2:57250,,,40,101397
1622720095.011772,172.10.0.2:57250,,,42,107189
1622720095.029757,172.10.0.2:57250,,,54,141941
1622720095.047010,172.10.0.2:57250,,,54,141941
1622720095.064111,172.10.0.2:57250,,,54,141941
1622720095.083031,172.10.0.2:57250,,,54,141941
1622720095.100426,172.10.0.2:57250,,,54,141941
1622720095.117747,172.10.0.2:57250,,,54,141941
1622720095.135517,172.10.0.2:57250,,,54,141941
1622720095.153648,172.10.0.2:57250,,,54,141941
1622720095.171552,172.10.0.2:57250,,,54,141941
1622720095.190209,172.10.0.2:57250,,,60,159317
1622720095.211141,172.10.0.2:57250,,,60,159317
1622720095.230642,172.10.0.2:57250,,,60,159317
1622720095.250755,172.10.0.2:57250,,,62,165109
1622720095.270591,172.10.0.2:57250,,,64,170901
1622720095.289983,172.10.0.2:57250,,,64,170901
1622720095.310619,172.10.0.2:57250,,,80,205653
1622720095.334521,172.10.0.2:57250,,,80,205653
1622720095.358362,172.10.0.2:57250,,,80,205653
1622720095.381997,172.10.0.2:57250,,,80,205653
1622720095.404171,172.10.0.2:57250,,,80,205653
1622720095.427433,172.10.0.2:57250,,,80,205653
1622720095.449496,172.10.0.2:57250,,,80,205653
1622720095.470731,172.10.0.2:57250,,,80,205653
1622720095.491853,172.10.0.2:57250,,,84,228821
1622720095.513569,172.10.0.2:57250,,,84,228821
1622720095.535383,172.10.0.2:57250,,,84,228821
1622720095.557818,172.10.0.2:57250,,,86,234613
1622720095.579603,172.10.0.2:57250,,,108,269365
1622720095.600288,172.10.0.2:57250,,,108,269365
1622720095.621890,172.10.0.2:57250,,,108,269365
1622720095.645168,172.10.0.2:57250,,,108,269365
1622720095.669161,172.10.0.2:57250,,,108,269365
1622720095.691701,172.10.0.2:57250,,,108,269365
1622720095.714311,172.10.0.2:57250,,,108,269365
1622720095.737024,172.10.0.2:57250,,,108,269365
1622720095.759878,172.10.0.2:57250,,,108,269365
1622720095.781836,172.10.0.2:57250,,,108,269365
1622720095.803488,172.10.0.2:57250,,,108,269365
1622720095.826139,172.10.0.2:57250,,,108,269365
1622720095.847468,172.10.0.2:57250,,,120,301221
1622720095.868676,172.10.0.2:57250,,,120,301221
1622720095.889700,172.10.0.2:57250,,,120,301221
1622720095.911378,172.10.0.2:57250,,,120,301221
1622720095.932029,172.10.0.2:57250,,,120,301221
1622720095.952160,172.10.0.2:57250,,,120,301221
1622720095.970835,172.10.0.2:57250,,,120,301221
1622720095.989275,172.10.0.2:57250,,,124,333077
1622720096.008915,172.10.0.2:57250,,,124,333077
1622720096.027741,172.10.0.2:57250,,,128,356245
1622720096.046426,172.10.0.2:57250,,,128,356245
1622720096.065174,172.10.0.2:57250,,,128,356245
1622720096.083875,172.10.0.2:57250,,,130,362037
1622720096.101600,172.10.0.2:57250,16,16,108,138
1622720096.119791,172.10.0.2:57250,16,16,108,138
1622720096.138631,172.10.0.2:57250,16,16,108,138
1622720096.156140,172.10.0.2:57250,16,16,108,138
1622720096.175250,172.10.0.2:57250,16,16,108,138
1622720096.193430,172.10.0.2:57250,16,16,108,138
1622720096.210848,172.10.0.2:57250,16,16,108,138
1622720096.228703,172.10.0.2:57250,16,16,108,138
1622720096.247428,172.10.0.2:57250,16,16,108,138
1622720096.264693,172.10.0.2:57250,16,16,108,138
1622720096.282378,172.10.0.2:57250,16,16,108,138
1622720096.299792,172.10.0.2:57250,20,20,108,138
1622720096.317213,172.10.0.2:57250,20,20,108,138
1622720096.335732,172.10.0.2:57250,22,22,108,138
1622720096.353306,172.10.0.2:57250,22,22,108,138
1622720096.372846,172.10.0.2:57250,22,22,108,138
1622720096.393576,172.10.0.2:57250,22,22,108,138
1622720096.411993,172.10.0.2:57250,22,22,108,138
1622720096.430704,172.10.0.2:57250,22,22,108,138
1622720096.447839,172.10.0.2:57250,22,22,108,138
1622720096.465801,172.10.0.2:57250,22,22,108,138
1622720096.483039,172.10.0.2:57250,22,22,108,138
1622720096.500564,172.10.0.2:57250,22,22,108,138
1622720096.518438,172.10.0.2:57250,22,22,108,138
1622720096.536786,172.10.0.2:57250,22,22,108,138
1622720096.554963,172.10.0.2:57250,22,22,108,138
1622720096.573942,172.10.0.2:57250,22,22,108,138
1622720096.592139,172.10.0.2:57250,22,22,108,138
1622720096.612159,172.10.0.2:57250,22,22,108,138
1622720096.630392,172.10.0.2:57250,38,38,64,138
1622720096.649251,172.10.0.2:57250,38,38,64,138
1622720096.668274,172.10.0.2:57250,38,38,64,138
1622720096.686756,172.10.0.2:57250,38,38,64,138
1622720096.704382,172.10.0.2:57250,38,38,64,138
1622720096.721663,172.10.0.2:57250,38,38,64,138
1622720096.739522,172.10.0.2:57250,38,38,64,138
1622720096.758622,172.10.0.2:57250,38,38,64,138
1622720096.777889,172.10.0.2:57250,38,38,64,138
1622720096.797862,172.10.0.2:57250,38,38,64,138
1622720096.815640,172.10.0.2:57250,38,38,64,138
1622720096.834869,172.10.0.2:57250,42,42,64,138
1622720096.852730,172.10.0.2:57250,42,42,64,138
1622720096.872129,172.10.0.2:57250,50,66,80,138
1622720096.895406,172.10.0.2:57250,50,66,80,138
1622720096.916347,172.10.0.2:57250,50,66,80,138
1622720096.935667,172.10.0.2:57250,50,66,80,138
1622720096.953915,172.10.0.2:57250,50,66,80,138
1622720096.972214,172.10.0.2:57250,50,66,80,138
1622720096.990211,172.10.0.2:57250,50,66,80,138
1622720097.009155,172.10.0.2:57250,50,66,80,138
1622720097.028727,172.10.0.2:57250,50,66,80,138
1622720097.047829,172.10.0.2:57250,50,66,80,138
1622720097.065749,172.10.0.2:57250,46,66,84,138
1622720097.083527,172.10.0.2:57250,46,66,84,138
1622720097.100976,172.10.0.2:57250,46,66,84,138
1622720097.118675,172.10.0.2:57250,44,66,86,138
1622720097.136321,172.10.0.2:57250,44,66,101,138
1622720097.154258,172.10.0.2:57250,44,66,101,138
1622720097.171868,172.10.0.2:57250,44,66,101,138
1622720097.190121,172.10.0.2:57250,44,66,101,138
1622720097.207797,172.10.0.2:57250,44,66,101,138
