Timestamp,Sender,retr,retr.total,cwnd,ssthresh
1622720791.240433,172.10.0.2:57708,,,15,28997
1622720791.258122,172.10.0.2:57708,,,15,28997
1622720791.276999,172.10.0.2:57708,,,15,28997
1622720791.294416,172.10.0.2:57708,,,20,43477
1622720791.311835,172.10.0.2:57708,,,20,43477
1622720791.329554,172.10.0.2:57708,,,20,43477
1622720791.347829,172.10.0.2:57708,,,27,63749
1622720791.365507,172.10.0.2:57708,,,27,63749
1622720791.383491,172.10.0.2:57708,,,27,63749
1622720791.401905,172.10.0.2:57708,,,27,63749
1622720791.419997,172.10.0.2:57708,,,27,63749
1622720791.437924,172.10.0.2:57708,,,30,72437
1622720791.455664,172.10.0.2:57708,,,30,72437
1622720791.473027,172.10.0.2:57708,,,35,86917
1622720791.490631,172.10.0.2:57708,,,35,86917
1622720791.508171,172.10.0.2:57708,,,35,86917
1622720791.525487,172.10.0.2:57708,,,40,101397
1622720791.543466,172.10.0.2:57708,,,40,101397
1622720791.560770,172.10.0.2:57708,,,40,101397
1622720791.578360,172.10.0.2:57708,,,40,101397
1622720791.596414,172.10.0.2:57708,,,42,107189
1622720791.614642,172.10.0.2:57708,,,44,112981
1622720791.632523,172.10.0.2:57708,,,46,118773
1622720791.650631,172.10.0.2:57708,,,46,118773
1622720791.668491,172.10.0.2:57708,,,48,124565
1622720791.686499,172.10.0.2:57708,,,50,130357
1622720791.705003,172.10.0.2:57708,,,52,136149
1622720791.722862,172.10.0.2:57708,,,52,136149
1622720791.740095,172.10.0.2:57708,,,54,141941
1622720791.757802,172.10.0.2:57708,,,56,147733
1622720791.775921,172.10.0.2:57708,,,58,153525
1622720791.793142,172.10.0.2:57708,,,58,153525
1622720791.810954,172.10.0.2:57708,,,60,159317
1622720791.828275,172.10.0.2:57708,,,62,165109
1622720791.845553,172.10.0.2:57708,,,62,165109
1622720791.864213,172.10.0.2:57708,,,64,170901
1622720791.881405,172.10.0.2:57708,,,66,176693
1622720791.898974,172.10.0.2:57708,,,68,182485
1622720791.916447,172.10.0.2:57708,,,68,182485
1622720791.933867,172.10.0.2:57708,,,70,188277
1622720791.951228,172.10.0.2:57708,,,72,194069
1622720791.969278,172.10.0.2:57708,,,74,199861
1622720791.987151,172.10.0.2:57708,,,74,199861
1622720792.004856,172.10.0.2:57708,,,76,205653
1622720792.022592,172.10.0.2:57708,,,78,211445
1622720792.039774,172.10.0.2:57708,,,80,217237
1622720792.057084,172.10.0.2:57708,,,80,217237
1622720792.074487,172.10.0.2:57708,,,82,223029
1622720792.091914,172.10.0.2:57708,,,84,228821
1622720792.109472,172.10.0.2:57708,,,84,228821
1622720792.126859,172.10.0.2:57708,,,86,234613
1622720792.144376,172.10.0.2:57708,,,88,240405
1622720792.161625,172.10.0.2:57708,,,90,246197
1622720792.179029,172.10.0.2:57708,,,90,246197
1622720792.196539,172.10.0.2:57708,,,92,251989
1622720792.214276,172.10.0.2:57708,,,94,257781
1622720792.232718,172.10.0.2:57708,,,94,257781
1622720792.249695,172.10.0.2:57708,,,96,263573
1622720792.267407,172.10.0.2:57708,,,98,269365
1622720792.285276,172.10.0.2:57708,,,100,275157
1622720792.302351,172.10.0.2:57708,,,100,275157
1622720792.319691,172.10.0.2:57708,,,102,280949
1622720792.337444,172.10.0.2:57708,,,104,286741
1622720792.354994,172.10.0.2:57708,,,106,292533
1622720792.372495,172.10.0.2:57708,,,106,292533
1622720792.390488,172.10.0.2:57708,,,108,298325
1622720792.407822,172.10.0.2:57708,,,110,302669
1622720792.425215,172.10.0.2:57708,,,110,302669
1622720792.442605,172.10.0.2:57708,,,112,308461
1622720792.461313,172.10.0.2:57708,,,114,314253
1622720792.478892,172.10.0.2:57708,,,116,320045
1622720792.496737,172.10.0.2:57708,,,116,320045
1622720792.514227,172.10.0.2:57708,,,118,325837
1622720792.531687,172.10.0.2:57708,,,120,331629
1622720792.550302,172.10.0.2:57708,,,122,337421
1622720792.568128,172.10.0.2:57708,,,122,337421
1622720792.585681,172.10.0.2:57708,,,124,343213
1622720792.603987,172.10.0.2:57708,,,126,349005
1622720792.621877,172.10.0.2:57708,,,128,354797
1622720792.639309,172.10.0.2:57708,,,128,354797
1622720792.656903,172.10.0.2:57708,,,130,360589
1622720792.674662,172.10.0.2:57708,,,132,367829
1622720792.692119,172.10.0.2:57708,,,132,367829
1622720792.710350,172.10.0.2:57708,,,134,373621
1622720792.727846,172.10.0.2:57708,,,136,379413
1622720792.745020,172.10.0.2:57708,,,138,385205
1622720792.762482,172.10.0.2:57708,,,138,385205
1622720792.779714,172.10.0.2:57708,2,2,136,110
