Timestamp,Sender,retr,retr.total,cwnd,ssthresh
1622716190.114940,172.10.0.2:56302,,,15,28997
1622716190.137001,172.10.0.2:56302,,,15,30445
1622716190.154994,172.10.0.2:56302,,,15,30445
1622716190.172714,172.10.0.2:56302,,,20,37685
1622716190.190153,172.10.0.2:56302,,,20,37685
1622716190.208552,172.10.0.2:56302,,,20,37685
1622716190.228096,172.10.0.2:56302,,,27,63749
1622716190.248776,172.10.0.2:56302,,,27,63749
1622716190.268944,172.10.0.2:56302,,,27,63749
1622716190.287208,172.10.0.2:56302,,,27,63749
1622716190.305007,172.10.0.2:56302,,,27,63749
1622716190.322535,172.10.0.2:56302,,,30,72437
1622716190.340609,172.10.0.2:56302,,,30,72437
1622716190.358125,172.10.0.2:56302,,,36,89813
1622716190.375690,172.10.0.2:56302,,,36,89813
1622716190.393745,172.10.0.2:56302,,,36,89813
1622716190.411209,172.10.0.2:56302,,,36,89813
1622716190.428575,172.10.0.2:56302,,,38,95605
1622716190.445998,172.10.0.2:56302,,,40,101397
1622716190.463643,172.10.0.2:56302,,,42,107189
1622716190.481382,172.10.0.2:56302,,,42,107189
1622716190.498910,172.10.0.2:56302,,,44,112981
1622716190.516125,172.10.0.2:56302,,,46,118773
1622716190.533628,172.10.0.2:56302,,,46,118773
1622716190.551176,172.10.0.2:56302,,,48,124565
1622716190.569109,172.10.0.2:56302,,,50,130357
1622716190.587431,172.10.0.2:56302,,,52,136149
1622716190.605622,172.10.0.2:56302,,,52,136149
1622716190.623481,172.10.0.2:56302,,,54,141941
1622716190.645021,172.10.0.2:56302,,,56,147733
1622716190.665933,172.10.0.2:56302,,,58,153525
1622716190.685390,172.10.0.2:56302,,,60,159317
1622716190.703815,172.10.0.2:56302,,,60,159317
1622716190.722460,172.10.0.2:56302,,,62,165109
1622716190.742574,172.10.0.2:56302,,,64,170901
1622716190.766517,172.10.0.2:56302,,,66,176693
1622716190.787959,172.10.0.2:56302,,,68,182485
1622716190.807460,172.10.0.2:56302,,,70,188277
1622716190.825225,172.10.0.2:56302,,,70,188277
1622716190.842956,172.10.0.2:56302,,,72,194069
1622716190.860430,172.10.0.2:56302,,,74,199861
1622716190.878037,172.10.0.2:56302,,,76,205653
1622716190.896151,172.10.0.2:56302,,,76,205653
1622716190.913917,172.10.0.2:56302,,,78,211445
1622716190.931778,172.10.0.2:56302,,,80,217237
1622716190.950221,172.10.0.2:56302,,,82,221581
1622716190.968039,172.10.0.2:56302,,,82,221581
1622716190.985476,172.10.0.2:56302,,,84,227373
1622716191.003299,172.10.0.2:56302,,,86,233165
1622716191.020764,172.10.0.2:56302,,,88,238957
1622716191.038854,172.10.0.2:56302,,,88,238957
1622716191.056323,172.10.0.2:56302,,,90,244749
1622716191.073610,172.10.0.2:56302,,,92,250541
1622716191.091400,172.10.0.2:56302,,,92,250541
1622716191.108906,172.10.0.2:56302,,,94,256333
1622716191.127013,172.10.0.2:56302,,,96,263573
1622716191.145030,172.10.0.2:56302,,,98,269365
1622716191.162434,172.10.0.2:56302,,,98,269365
1622716191.179772,172.10.0.2:56302,,,100,275157
1622716191.197305,172.10.0.2:56302,,,102,280949
1622716191.215432,172.10.0.2:56302,,,104,286741
1622716191.232962,172.10.0.2:56302,,,104,286741
1622716191.252247,172.10.0.2:56302,,,106,292533
1622716191.270548,172.10.0.2:56302,,,108,298325
1622716191.289332,172.10.0.2:56302,,,110,304117
1622716191.307666,172.10.0.2:56302,,,110,304117
1622716191.326420,172.10.0.2:56302,,,112,308461
1622716191.344929,172.10.0.2:56302,,,114,314253
1622716191.362122,172.10.0.2:56302,,,116,320045
1622716191.379868,172.10.0.2:56302,,,116,320045
1622716191.398161,172.10.0.2:56302,,,118,325837
1622716191.415896,172.10.0.2:56302,,,120,331629
1622716191.434164,172.10.0.2:56302,,,122,334525
1622716191.452036,172.10.0.2:56302,,,122,334525
1622716191.469676,172.10.0.2:56302,,,124,337421
1622716191.487295,172.10.0.2:56302,,,126,340317
1622716191.504900,172.10.0.2:56302,,,128,343213
1622716191.522570,172.10.0.2:56302,,,128,343213
1622716191.541262,172.10.0.2:56302,,,130,351901
1622716191.558861,172.10.0.2:56302,,,132,360589
1622716191.576350,172.10.0.2:56302,,,132,360589
1622716191.594234,172.10.0.2:56302,,,134,369277
1622716191.611816,172.10.0.2:56302,,,136,379413
1622716191.629361,172.10.0.2:56302,,,138,385205
1622716191.647358,172.10.0.2:56302,,,138,385205
1622716191.664713,172.10.0.2:56302,1,1,135,69
1622716191.682242,172.10.0.2:56302,2,2,132,69
1622716191.699745,172.10.0.2:56302,3,3,129,69
1622716191.717602,172.10.0.2:56302,3,3,129,69
1622716191.734895,172.10.0.2:56302,4,4,126,69
1622716191.754634,172.10.0.2:56302,5,5,123,69
1622716191.772141,172.10.0.2:56302,6,6,121,69
1622716191.789797,172.10.0.2:56302,7,7,120,69
1622716191.807768,172.10.0.2:56302,8,8,119,69
1622716191.825595,172.10.0.2:56302,8,8,119,69
1622716191.843167,172.10.0.2:56302,9,9,116,69
1622716191.861163,172.10.0.2:56302,10,10,113,69
1622716191.878841,172.10.0.2:56302,10,10,113,69
1622716191.897069,172.10.0.2:56302,11,11,110,69
1622716191.914405,172.10.0.2:56302,12,12,107,69
1622716191.932593,172.10.0.2:56302,13,13,104,69
1622716191.949979,172.10.0.2:56302,13,13,104,69
1622716191.968049,172.10.0.2:56302,14,14,101,69
1622716191.985738,172.10.0.2:56302,15,15,97,69
1622716192.003007,172.10.0.2:56302,16,16,94,69
1622716192.021568,172.10.0.2:56302,16,16,94,69
1622716192.039352,172.10.0.2:56302,17,17,91,69
1622716192.057344,172.10.0.2:56302,18,18,88,69
1622716192.074700,172.10.0.2:56302,19,19,85,69
1622716192.092489,172.10.0.2:56302,19,19,85,69
1622716192.110056,172.10.0.2:56302,20,20,82,69
1622716192.130091,172.10.0.2:56302,21,21,79,69
1622716192.148787,172.10.0.2:56302,22,22,76,69
1622716192.166497,172.10.0.2:56302,22,22,76,69
1622716192.184613,172.10.0.2:56302,23,23,74,69
1622716192.202066,172.10.0.2:56302,24,24,71,69
1622716192.220136,172.10.0.2:56302,26,26,69,69
1622716192.238010,172.10.0.2:56302,26,26,69,69
1622716192.258099,172.10.0.2:56302,28,28,67,69
1622716192.277636,172.10.0.2:56302,30,30,65,69
1622716192.295540,172.10.0.2:56302,32,32,65,69
1622716192.313379,172.10.0.2:56302,32,32,65,69
1622716192.330818,172.10.0.2:56302,34,34,65,69
1622716192.349141,172.10.0.2:56302,36,36,65,69
1622716192.366731,172.10.0.2:56302,38,38,65,69
1622716192.384623,172.10.0.2:56302,38,38,65,69
1622716192.402630,172.10.0.2:56302,40,40,61,69
1622716192.419851,172.10.0.2:56302,42,42,57,69
1622716192.437270,172.10.0.2:56302,44,44,53,69
1622716192.455125,172.10.0.2:56302,44,44,53,69
1622716192.472442,172.10.0.2:56302,46,46,48,69
1622716192.489943,172.10.0.2:56302,68,69,69,69
1622716192.507596,172.10.0.2:56302,67,69,69,69
1622716192.525344,172.10.0.2:56302,65,69,69,69
1622716192.543879,172.10.0.2:56302,64,69,69,69
1622716192.562028,172.10.0.2:56302,62,69,69,69
1622716192.579652,172.10.0.2:56302,61,69,69,69
1622716192.597771,172.10.0.2:56302,59,69,69,69
1622716192.615727,172.10.0.2:56302,58,69,69,69
1622716192.633038,172.10.0.2:56302,56,69,69,69
1622716192.651934,172.10.0.2:56302,55,69,69,69
1622716192.669504,172.10.0.2:56302,53,69,69,69
1622716192.687352,172.10.0.2:56302,52,69,69,69
1622716192.704757,172.10.0.2:56302,50,69,69,69
1622716192.722593,172.10.0.2:56302,49,69,69,69
1622716192.741561,172.10.0.2:56302,47,69,69,69
1622716192.761443,172.10.0.2:56302,46,69,69,69
1622716192.779394,172.10.0.2:56302,43,69,69,69
1622716192.796841,172.10.0.2:56302,43,69,69,69
1622716192.814654,172.10.0.2:56302,41,69,69,69
1622716192.832641,172.10.0.2:56302,40,69,69,69
1622716192.850377,172.10.0.2:56302,38,69,69,69
1622716192.868094,172.10.0.2:56302,37,69,69,69
1622716192.885654,172.10.0.2:56302,35,69,69,69
1622716192.903327,172.10.0.2:56302,34,69,69,69
1622716192.921005,172.10.0.2:56302,33,69,69,69
1622716192.938692,172.10.0.2:56302,31,69,69,69
1622716192.955965,172.10.0.2:56302,30,69,69,69
1622716192.973304,172.10.0.2:56302,28,69,69,69
1622716192.990866,172.10.0.2:56302,27,69,69,69
1622716193.011261,172.10.0.2:56302,25,69,69,69
1622716193.031660,172.10.0.2:56302,23,69,69,69
1622716193.053000,172.10.0.2:56302,21,69,69,69
1622716193.073041,172.10.0.2:56302,19,69,69,69
1622716193.094401,172.10.0.2:56302,17,69,69,69
1622716193.116281,172.10.0.2:56302,17,69,69,69
1622716193.136544,172.10.0.2:56302,15,69,69,69
1622716193.157087,172.10.0.2:56302,13,69,69,69
1622716193.182217,172.10.0.2:56302,11,69,69,69
1622716193.202753,172.10.0.2:56302,9,69,69,69
1622716193.222342,172.10.0.2:56302,7,69,69,69
1622716193.241877,172.10.0.2:56302,6,69,69,69
1622716193.262461,172.10.0.2:56302,4,69,69,69
1622716193.282344,172.10.0.2:56302,2,69,69,69
1622716193.304655,172.10.0.2:56302,0,69,69,69
1622716193.323680,172.10.0.2:56302,0,69,69,69
1622716193.341418,172.10.0.2:56302,0,69,69,69
1622716193.359087,172.10.0.2:56302,0,69,69,69
1622716193.376411,172.10.0.2:56302,0,69,69,69
1622716193.393855,172.10.0.2:56302,0,69,69,69
1622716193.411689,172.10.0.2:56302,0,69,69,69
1622716193.429093,172.10.0.2:56302,0,69,69,69
1622716193.446613,172.10.0.2:56302,0,69,69,69
1622716193.464150,172.10.0.2:56302,0,69,69,69
1622716193.482061,172.10.0.2:56302,0,69,69,69
1622716193.499558,172.10.0.2:56302,0,69,69,69
1622716193.517850,172.10.0.2:56302,0,69,69,69
1622716193.535355,172.10.0.2:56302,0,69,69,69
1622716193.552630,172.10.0.2:56302,0,69,69,69
1622716193.570809,172.10.0.2:56302,0,69,69,69
1622716193.589102,172.10.0.2:56302,0,69,69,69
1622716193.606962,172.10.0.2:56302,0,69,69,69
1622716193.625652,172.10.0.2:56302,0,69,69,69
1622716193.643668,172.10.0.2:56302,0,69,69,69
1622716193.662329,172.10.0.2:56302,0,69,69,69
1622716193.680038,172.10.0.2:56302,0,69,69,69
1622716193.697346,172.10.0.2:56302,0,69,69,69
1622716193.714751,172.10.0.2:56302,0,69,69,69
1622716193.732553,172.10.0.2:56302,0,69,69,69
1622716193.753672,172.10.0.2:56302,0,69,69,69
1622716193.772003,172.10.0.2:56302,0,69,69,69
1622716193.790105,172.10.0.2:56302,0,69,69,69
1622716193.808699,172.10.0.2:56302,0,69,69,69
1622716193.827969,172.10.0.2:56302,0,69,69,69
1622716193.845998,172.10.0.2:56302,0,69,69,69
1622716193.863739,172.10.0.2:56302,0,69,69,69
1622716193.881055,172.10.0.2:56302,0,69,69,69
1622716193.899274,172.10.0.2:56302,0,69,69,69
1622716193.916867,172.10.0.2:56302,0,69,69,69
1622716193.935233,172.10.0.2:56302,0,69,69,69
1622716193.953048,172.10.0.2:56302,0,69,69,69
1622716193.971569,172.10.0.2:56302,0,69,69,69
1622716193.989515,172.10.0.2:56302,0,69,69,69
1622716194.007752,172.10.0.2:56302,0,69,69,69
1622716194.025679,172.10.0.2:56302,0,69,69,69
1622716194.043785,172.10.0.2:56302,0,69,69,69
1622716194.062612,172.10.0.2:56302,0,69,69,69
1622716194.082143,172.10.0.2:56302,0,69,69,69
1622716194.100920,172.10.0.2:56302,0,69,69,69
1622716194.120015,172.10.0.2:56302,0,69,70,69
1622716194.139767,172.10.0.2:56302,0,69,70,69
1622716194.158852,172.10.0.2:56302,0,69,70,69
1622716194.176350,172.10.0.2:56302,0,69,70,69
1622716194.193478,172.10.0.2:56302,0,69,70,69
1622716194.211191,172.10.0.2:56302,0,69,70,69
1622716194.229056,172.10.0.2:56302,0,69,70,69
1622716194.248896,172.10.0.2:56302,0,69,70,69
1622716194.266463,172.10.0.2:56302,0,69,70,69
1622716194.285707,172.10.0.2:56302,0,69,70,69
1622716194.305779,172.10.0.2:56302,0,69,70,69
1622716194.323680,172.10.0.2:56302,0,69,70,69
1622716194.342067,172.10.0.2:56302,0,69,70,69
1622716194.359874,172.10.0.2:56302,0,69,70,69
1622716194.377829,172.10.0.2:56302,0,69,70,69
1622716194.395199,172.10.0.2:56302,0,69,70,69
1622716194.413407,172.10.0.2:56302,0,69,70,69
1622716194.431731,172.10.0.2:56302,0,69,70,69
1622716194.449839,172.10.0.2:56302,0,69,70,69
1622716194.467816,172.10.0.2:56302,0,69,70,69
1622716194.485290,172.10.0.2:56302,0,69,70,69
1622716194.502930,172.10.0.2:56302,0,69,70,69
1622716194.521155,172.10.0.2:56302,0,69,70,69
1622716194.539016,172.10.0.2:56302,0,69,70,69
1622716194.557030,172.10.0.2:56302,0,69,70,69
1622716194.575070,172.10.0.2:56302,0,69,70,69
1622716194.592507,172.10.0.2:56302,0,69,70,69
1622716194.610584,172.10.0.2:56302,0,69,70,69
1622716194.629022,172.10.0.2:56302,0,69,70,69
1622716194.646970,172.10.0.2:56302,0,69,70,69
1622716194.665290,172.10.0.2:56302,0,69,70,69
1622716194.684356,172.10.0.2:56302,0,69,70,69
1622716194.701715,172.10.0.2:56302,0,69,70,69
1622716194.719315,172.10.0.2:56302,0,69,70,69
1622716194.737538,172.10.0.2:56302,0,69,70,69
1622716194.756374,172.10.0.2:56302,0,69,70,69
1622716194.774769,172.10.0.2:56302,0,69,70,69
1622716194.792186,172.10.0.2:56302,0,69,70,69
1622716194.809592,172.10.0.2:56302,0,69,70,69
1622716194.827203,172.10.0.2:56302,0,69,70,69
1622716194.844550,172.10.0.2:56302,0,69,70,69
1622716194.862060,172.10.0.2:56302,0,69,70,69
1622716194.880843,172.10.0.2:56302,0,69,70,69
1622716194.898488,172.10.0.2:56302,0,69,70,69
1622716194.916796,172.10.0.2:56302,0,69,70,69
1622716194.934856,172.10.0.2:56302,0,69,70,69
1622716194.952267,172.10.0.2:56302,0,69,70,69
1622716194.969531,172.10.0.2:56302,0,69,71,69
1622716194.987064,172.10.0.2:56302,0,69,71,69
1622716195.005127,172.10.0.2:56302,1,70,67,35
1622716195.023278,172.10.0.2:56302,2,71,67,35
1622716195.041567,172.10.0.2:56302,2,71,66,35
1622716195.059532,172.10.0.2:56302,2,71,65,35
1622716195.077501,172.10.0.2:56302,2,71,65,35
1622716195.095559,172.10.0.2:56302,2,71,64,35
1622716195.113881,172.10.0.2:56302,2,71,63,35
1622716195.132683,172.10.0.2:56302,2,71,62,35
1622716195.150398,172.10.0.2:56302,2,71,62,35
1622716195.168684,172.10.0.2:56302,2,71,61,35
1622716195.186142,172.10.0.2:56302,2,71,60,35
1622716195.203527,172.10.0.2:56302,2,71,59,35
1622716195.221909,172.10.0.2:56302,2,71,59,35
1622716195.240637,172.10.0.2:56302,2,71,58,35
1622716195.260925,172.10.0.2:56302,2,71,57,35
