review,sentiment
"My family and I normally do not watch local movies for the simple reason that they are poorly made, they lack the depth, and just not worth our time.<br /><br />The trailer of ""Nasaan ka man"" caught my attention, my daughter in law's and daughter's so we took time out to watch it this afternoon. The movie exceeded our expectations. The cinematography was very good, the story beautiful and the acting awesome. Jericho Rosales was really very good, so's Claudine Barretto. The fact that I despised Diether Ocampo proves he was effective at his role. I have never been this touched, moved and affected by a local movie before. Imagine a cynic like me dabbing my eyes at the end of the movie? Congratulations to Star Cinema!! Way to go, Jericho and Claudine!!",1
"Believe it or not, this was at one time the worst movie I had ever seen. Since that time, I have seen many more movies that are worse (how is it possible??) Therefore, to be fair, I had to give this movie a 2 out of 10. But it was a tough call.",0
"After some internet surfing, I found the ""Homefront"" series on DVD at ioffer.com. Before anyone gets excited, the DVD set I received was burned by an amateur from home video tapes recorded off of their TV 15 years ago. The resolution and quality are poor. The images look like you would expect old re-recorded video to look. Although the commercials were edited out, the ending credits of each episode still have voice-over announcements for the segway into the ABC news program ""Nightline"", complete with the top news headlines from the early 1990's. Even with the poor image quality, the shows were watch-able and the sound quality was fine.<br /><br />To this show's credit, the casting was nearly perfect. Everyone was believable and really looked the part. Their acting was also above average. The role of Jeff Metcalf is played particularly well by Kyle Chandler (most recently seen in the 2005 remake of King Kong). The period costumes were very authentic as were the sets, especially the 1940s kitchens with vintage appliances and décor. The direction was also creative and different for a TV show at that time. For example, conversations between characters were sometimes inter-cut with conversations about the same subject between other characters in different scenes. The dialog of the different conversations was kept fluid despite cutting back and fourth between the different characters and locations. That takes good direction and editing and they made it work in this case.<br /><br />As I started watching this series again I suddenly remembered why I lost interest in it 15 years ago. Despite all the ingredients for a fine show, the plots and story lines are disappointing and confusing right from the start. For one thing, the name of the show itself is totally misleading. When WWII ended in 1945, there was no more fighting so obviously there was no longer a ""homefront"" either. Curiously, the first episode of the show ""Homefront"" begins in 1945 after the war had ended. That's like shooting the first episode of ""Gilligan's Island"" showing the castaways being rescued. The whole premise of the show's namesake is completely lost. I still held on to hope with the possibility of the rest of the series being a flashback but no, the entire show takes place from 1946 through 1948. Additionally, this series fails miserably in any attempt to accurately portray any historical events of the late 1940's. By the third episode, it becomes obvious that this series was nothing more than a thinly veiled vehicle for an ultra left-wing political agenda. The show is set in River Run Ohio, near Toledo. However, the show's ongoing racism theme makes it look more like Jackson Mississippi than Ohio. Part of the ensemble cast are Dick Williams, Hattie Winston and Sterling Macer Jr. who portray the Davis family. Much of the series shows the Davis family being discriminated against by the evil ""whites"" to the point of being ridiculous and totally absurd if not laughable. The racism card has been played and over played by Hollywood now for over 40 years. We get it. We're also tired of having our noses rubbed in it on a daily basis. The subject of racism is also unpopular with viewers and it is the kiss of death for any show, as it was for ""Homefront"". The acting talents of Williams, Winston and Macer were wasted in their roles as the stereotypical ""frightened / angry black family"". The wildly exaggerated racism in this series makes it look like everyone in Ohio was a KKK member or something. The racism issue could have been addressed in this show in a single episode with a simple punch in the nose or fist-fight in which a bigot gets a well deserved thrashing, and leave it at that. Devoting a major portion of the series to the racism thing gets really old really quick and its just plain stupid.<br /><br />In yet another ridiculous plot line, the big boss of a local factory (Ken Jenkins) is portrayed as an Ebenezer Scrooge like character who is against pensions and raises and is unconcerned about acid dripping on his employees. The workers revolt and take over the factory in a blatant pro-communist propaganda message to the viewer.<br /><br />Personally, I think this series had great potential. The writers could have easily placed the timeline in 1941  1945 as the title suggests and shown the hardships of food and gas rationing and working 14 hour days at war factories. Of course the loss of brothers, sons and husbands fighting overseas would have also added drama. The situation was also perfect for writing in special guest stars as military or USO personnel passing through their town during training or en-route to Europe or the Pacific. The possibilities for good story lines and plots are endless. But no, the writers of Homefront (David Assael and James Grissom) completely ignored any relevant or interesting plots. Instead, they totally missed the point and strayed into a bizarre and irrelevant obsession with racism and left-wing politics. It would be unfair to the actors to condemn the entire series but the plots and situations in which they were placed are total garbage.",0
"One of the most unheralded great works of animation. Though it makes the most sophisticated use of the ""cut-out"" method of animation (a la ""South Park""), the real talent behind ""Twice Upon a Time"" are the vocal characterizations, with Lorenzo Music's (Carlton from TV's ""Rhoda"") Woody Allen-ish Ralph-the-all-purpose-Animal being the centerpiece. The ""accidental nightmare"" sequence is doubtless one of the best pieces of animation ever filmed.",1
"It was the Sixties, and anyone with long hair and a hip, distant attitude could get money to make a movie. That's how Michael Sarne, director of this colossal flop, was able to get the job. Sarne is one of the most supremely untalented people ever given a dollar to make a movie. In fact, the whole studio must have been tricked into agreeing to hire a guy who had made exactly one previous film, a terribly precious 60's-hip black and white featurette called Joanna. That film starred the similarly talentless actress/waif Genevieve Waite who could barely speak an entire line without breaking into some inappropriate facial expression or bat-like twitter. Sarne, who was probably incapable of directing a cartoon, never mind a big-budget Hollywood film, was in way over his head. David Giler's book is the best place to go to find out how the faux-infant terrible Sarne was able to pull the wool over everyone's eyes. If there is ever an historical marker which indicates the superficiality and shallowness of an era, Myra Breckinridge provides that marker. It embodies the emptiness and mindless excess of a decade which is more often remembered for a great sea-change in the body politic. Breckinridge is a touchstone of another, equally important vein. Watch this movie and you'll get a different perspective on the less-often mentioned vacuity of spirit which so often passed for talent during those years.<br /><br />Many reviewers have spoken about the inter-cutting of footage from other films, especially older ones. Some actually liked these clunky ""comments"" on what was taking place in the movie, others found them senseless, annoying, and obtrusive, though since the film is so bad itself any intrusion would have to be an improvement. <br /><br />In my opinion, the real reason Michael Sarne put so many film clips into Myra Brekinridge was to paper over the bottomless insufficiency of wit and imagination that he possessed. That is to say, Sarne was so imagination-challenged that he just threw these clips in to fill space and take up time. They weren't inspiration, they were desperation. His writing skills were nonexistent, and David Giler had wisely stepped away from the project as one might from a ticking bomb, so Sarne was left to actually try and make a movie, and he couldn't. It was beyond his slim capabilities. Hence the introduction of what seems like one half of an entire film's worth of clips. The ghosts of writers and directors - many long since passed on - were called upon to fix this calamitous flopperoo because Sarne sure as heck wasn't able to. This was what he came up with on those days he sat on the set and thought for eight hours while the entire cast and crew (not to mention the producers and the accountants) cooled their heels and waited for something, some great spark of imagination, a hint of originality, a soupcon of wit, to crackle forth from the brow of Zeus. Um, oops. No Zeus + no imagination + no sparks = millions of little dollar bills with tiny wings - each made from the hundreds of licensing agreements required to use the clips - flying out the window. Bye-bye. <br /><br />As for myself, I hated the film clips. They denigrated Sarne's many betters, poked fun at people whose talents - even those whose skills were not great - far outstripped the abilities of the director and so ultimately served to show how lacking he was in inspiration, originality - and even of plain competency - compared to even the cheesiest of them.",0
"For my humanities quarter project for school, i chose to do human trafficking. After some research on the internet, i found this DVD and ordered it. I just finished watching it and I am still thinking about it. All I can say is ""Wow"". It is such a compelling story of a 12 year old Vietnamese girl named Holly and an American man named Patric who tries to save her. The ending leaves you breathless, and although it's not a happily-ever-after ending, it is very realistic. It is amazing and I recommend it to anyone! You really connect with Holly and Patric and your heart breaks for her and because of what happens to her. I loved it so much and now I want to know what happens next!",1
"Arguebly Al Pacino's best role. He plays Tony Montana, A small time hood from Cuba turned into a rich and powerful crime lord in Miami, and he does it with the only two things he's got in this world, his balls and his word, and he doesn't break'em for nobody. Starts as doing jobs for a big time Cuban dealer, Frank Lopez (Robert Loggia) and quickly goes up the ladder of the organization along with his long time friend Manny (Steven Bauer). Soon he has an eye for the boss's sexy wife Elvira (Michelle Pfeiffer). After Frank sees a threat from Tony to his position, he attempts to assassin Tony but with no luck. Tony is upset and nothing can stop him now. the film has a great supporting cast among them is F. Murray Abraham as a jumpy gangster, another familiar face is Harris Yulin as a crooked cop trying to shake down Tony, Marry Elizabeth Mastrantonio as Tony's young sister. Credits to the Ecxellent screenplay by Oliver Stone. This film is one of Brian DePalma's Brightest points in his long ups and downs career, you can see this guy is very talented. The movie has a magnificent look to it. Also pay attention for two memorable scenes: The one at the fancy restaurant (""Say goodnight to the bad guy""). the other is the final shootout where Tony shows that he still knows how to kick ass and kills about 20 assassins that invaded to his house. this is certainly one of the most impressive endings to a movie I have ever seen. For fans of Al Pacino and crime movies it's a must-see. For the rest of you it's highly recommended. 10/10",1
"Being a big fan of Stanley Kubrick's Clockwork Orange there was of course ""no question about it"" that I had to see this one. However I put it off far too long because some of my friends discarded it with comments like ""extremely boring"" or ""nothing happened"" ""a complete waste of time"". But when I saw images on the internet of the mysterious black monolith I was allowed to see a glimpse of the exquisite experience that is 2001: A Space Odyssey. There was no doubt in my mind that I was going to rent that movie the same evening. <br /><br />It turned out to be the greatest visual experience of my life. Of course, watching a very good painting or picture can be wonderful, but watching a movie constructed with the same kind of virtuosity in every frame adds a whole new dimension to it. My god... I like my friends a lot but it's a pity that I can't share with them the very thing that makes my heart jump up with excitement and makes my spirit fly like a bird in the sky. That thing, my friends, is beauty. As this film goes to show, beauty is terribly underrated in our technologically advanced, intellectually shallow, consumer driven fast-food western societies. That doesn't mean however that I reject these fast-paced societies or that I look down on them (and neither does Kubrick) but only that they can be so much more if only people would stop for a moment and take a little time to absorb the sheer beauty of the world we live in. And what better opportunity is there to do this then by slowing down to the elegant pace of this film and to let yourself be taken to that place between waking and dreaming. <br /><br />When we go to this place it is possible to get a so called ""natural high"". It is something that our spirit can do whenever we meet pure and boundless beauty. And never in my life has this ""natural high"" or ""spiritual orgasm"" as it is called by some or ""samaddhi"" by others been more intense. Yes it's more intense than a regular orgasm... several times more intense actually. Many religions have claimed that this particular feeling proves that they are right. Are they right? For me a straight answer to such a question would only detract from the impenetrable mesmerizing mystery of the universe. In my opinion the film tries to convey the same mystery through the depiction of the black monolith and by stating the following about it: ""Except for a single very powerful radio emission aimed at Jupiter the four-million year old black monolith has remained completely inert. Its origin and purpose are still a total mystery."" The trance that Bowman experiences is the same thing I experience when watching those gorgeous visuals. <br /><br />I can imagine that mystery can be frustrating for those who need straight fast-food answers to big ontological questions. But instead of giving us comfort we are constantly irritated by the awareness of the simplifications that are contained in these answers. The doubt and discomfort that is subsequently caused will make us point to our deeper intellectual activity as the source of all this trouble, while in fact we only have our easy answers to blame. But this film shows us that when fast ontological statements give rise to nothing but doubt, we can always rely on phenomena to make some sense out of the world. From the moment you realize that beauty is something that can only really be presented to us as a phenomenon and never as a ""thing in itself"" the mysterious black monolith is no longer disturbing, frightening or irritating but instead becomes fascinating, enchanting and maybe even comforting. We don't need an answer to what's really out there to be in touch with one of the greatest forces in our lives. When we are able to let mystery be what it is, to embrace it even... we can finally bring our souls to rest. I am pretty sure though that a film that contains so much beauty and so much philosophical and artistic depth can never really be surpassed. Especially now that the greatest director who ever lived is no longer with us.",1
"I reached the end of this and I was almost shouting ""No, no, no, NO! It cannot end here! There are too many unanswered questions! The engagement of the dishwashers? Mona's disappearance? Helmer's comeuppance? The ""zombie""? Was Little Brother saved by his father? And what about the head???????"" ARGH!! Then I read that at least two of the cast members had passed on and I have to say, I know it probably wouldn't be true to Lars von Trier's vision, but I would gladly look past replacement actors just to see the ending he had planned! Granted, it would be hard to find someone to play Helmer as the character deserves. Helmer, the doctor you love to hate! I think I have yet to see a more self-absorbed, oblivious, self-righteous character on screen! But, I could overlook a change in actors....I just have to know how it ends!",1
"There is no doubt that Halloween is by far one of the best films ever not only in its genre but also outside.I love the films creepy atmosphere like the whole it could happen here sort of situation makes it scary to think about.Also to imagine if you were ever in this situation what would you do.This is a movie that i enjoy watching highly, especially around Halloween time.John Carpenter is a very professional directer i love a lot of his other films, but there is no doubt that his best known movie is the film Halloween.Oh and if your thinking about watching the Rob Zombie remake don't.It is pure crap and a true Halloween fan would like the 1978 John Carpenter version better.Michael Myers is one of the coolest slasher killers in any film, and is a very well known one.So by all means go see this masterpiece you will really like it.",1
"Like almost everyone else, I became aware of this turkey on Mystery Science Theater 3000. It easily ranks as one of my favorite MST3K episodes of all time. I really couldn't imagine attempting to watch this film on it's own though.........it's really, really, really, really, really, really, really, really, really, really bad.<br /><br />Miles O'Keeffe stars as Ator, a muscle-bound Fabio wannabe who lives during the time of cave men. We the viewer are asked to suspend our disbelief in that he knows alchemy and chemistry and can manage to build a complete hang-glider in about 5 minutes. Yeah, right! There's also a fairly attractive actress (can't remember her name) who wears a hub-cap as a chest shield. Oh, and I can't forget that wacky Asian side-kick Thong. He had the easiest role in the movie since he doesn't utter one word of dialogue throughout the entire movie. He had to figure out how to make his character interesting without talking.....and he failed miserably.<br /><br />The film isn't watchable in any way and should be only viewed in it's proper MST3K format. If you watch that version, you'll laugh yourself silly!<br /><br />""I'm HUGE!!!!""<br /><br />Rating:1",0
